Relative Time	Peak at 829 cm-1	Peak at 1204 cm-1	Peak at 1704 cm-1	Peak at 1753 cm-1
00:00:11	0.00597757	-0.00357567	0.0149419	0.0251765
00:00:26	0.00010242	-0.00182116	0.0101287	0.0427563
00:00:41	-0.00200385	-0.00498105	0.0133826	0.0442205
00:00:56	0.00522249	-0.00471835	0.0176154	0.0454322
00:01:11	-0.00126442	-0.00655771	0.0124033	0.017622
00:01:26	0.00343318	0.00191381	0.0112384	0.0253867
00:01:41	-0.00329847	-0.00169954	0.0171174	0.0372538
00:01:56	-0.00367218	-0.00422231	0.0132661	0.0322471
00:02:11	1.41991e-06	-0.00485249	0.0211859	0.0155927
00:02:25	-0.00199928	0.000466882	0.00996348	0.0200485
00:02:41	-0.00364573	-0.000546887	0.00954295	0.0146847
00:02:56	-0.0043412	-0.00561443	0.0112047	0.0349326
00:03:11	-0.000372375	-0.00341033	0.0157223	0.0330765
00:03:26	0.00413379	-0.000333557	0.0184512	0.0287256
00:03:41	-0.00483292	-0.00706077	0.0149945	0.0247777
00:03:56	0.00140197	-0.00489602	0.00928368	0.0498365
00:04:11	-0.00144438	-0.0104263	0.0139174	0.0421422
00:04:26	0.000167022	-0.00291965	0.00751894	0.023692
00:04:41	0.00034486	-0.00186747	0.0186402	0.0331547
00:04:56	0.00632425	0.000452181	0.0149523	0.0324135
00:05:11	-0.000483101	-0.00347802	0.00915984	0.0235645
00:05:26	-0.00247313	-0.00473307	0.0250891	0.0346951
00:05:41	3.89454e-05	-0.00318404	0.0188978	0.0358364
00:05:56	0.00662955	-0.00541143	0.0171105	0.0244577
00:06:11	0.00337908	-0.00216333	0.00306198	0.028644
00:06:26	-0.00219769	-0.00672252	0.0133951	0.0396148
00:06:41	-0.00157607	-0.00116567	0.0211242	0.015442
00:06:56	-0.0116252	-0.00610448	0.0139838	0.0332211
00:07:11	-0.000742066	-0.00434622	0.0074774	0.0383482
00:07:25	-0.00402659	-0.00735163	0.0243671	0.0501978
00:07:41	-0.00682	-0.00431421	0.00965022	0.0421696
00:07:56	-0.0023014	-0.00756867	0.023077	0.0400071
00:08:11	-0.000206352	-0.00349218	0.012543	0.0335073
00:08:26	0.000568946	-0.00599387	0.0149174	0.0387152
00:08:41	0.0039572	-0.00546507	0.0229182	0.0415727
00:08:56	0.00195377	-0.00211534	0.0147682	0.0642139
00:09:11	0.00768083	0.148285	0.0293086	0.18388
00:09:26	0.0498999	1.07898	0.246902	0.912836
00:09:41	0.160085	2.45279	0.682161	1.95365
00:09:56	0.173976	2.35619	0.760409	1.83171
00:10:11	0.100046	1.19055	0.437834	0.959453
00:10:26	0.0464116	0.487732	0.189327	0.418289
00:10:41	0.0141887	0.1931	0.0842532	0.163492
00:10:56	0.00450236	0.0618752	0.0362975	0.0998747
00:11:11	0.00351993	0.0133796	0.0109862	0.078565
00:11:26	-0.000702814	-0.00322484	0.0146499	0.0625558
00:11:41	-0.00114959	-0.00533589	0.0189224	0.0495508
00:11:56	0.00121675	-0.00780031	0.0150945	0.0306303
00:12:11	-0.00283948	-0.00704835	0.0139342	0.0450015
00:12:26	0.00365289	-0.0133047	0.0141145	0.0361979
00:12:41	0.00245172	-0.00342606	0.0123231	0.0541988
00:12:56	-0.0088938	-0.00819808	0.0225593	0.0522183
00:13:11	0.00114389	-0.0121455	0.0188962	0.0462465
00:13:26	-0.000718997	-0.0055481	0.0185125	0.063435
00:13:41	0.00157812	-0.00710763	0.022093	0.0372843
00:13:56	-0.00470536	-0.00380321	0.0266133	0.0423857
00:14:11	-0.0042514	-0.0108162	0.0265209	0.0417324
00:14:26	-0.000942124	-0.011197	0.0181021	0.0282805
00:14:41	0.00504031	-0.00701561	0.0171514	0.042513
00:14:55	0.000158608	-0.00913582	0.0167587	0.0461343
00:15:11	0.000477428	-0.00457985	0.0186477	0.043052
00:15:26	0.00408256	0.0484852	0.0219849	0.106215
00:15:41	0.0277516	0.544134	0.0783907	0.496267
00:15:56	0.10265	1.79683	0.334845	1.48887
00:16:11	0.160903	2.32149	0.558805	1.82649
00:16:26	0.124302	1.49414	0.44287	1.16101
00:16:41	0.0505087	0.677909	0.209681	0.559569
00:16:56	0.0232569	0.308012	0.103721	0.285586
00:17:11	0.00883748	0.12595	0.0472546	0.146137
00:17:26	-0.000994581	0.0439721	0.0312475	0.0845575
00:17:41	0.00469558	0.00938712	0.0190166	0.0617768
00:17:56	0.000956498	-0.00121751	0.0134512	0.0646686
00:18:11	-0.0010295	-0.00580685	0.0162695	0.0646276
00:18:26	0.00242267	-0.00555941	0.0167257	0.0375633
00:18:41	-0.00354651	-0.00637609	0.0116159	0.0575467
00:18:56	0.00445214	-0.00641362	0.0127393	0.0550283
00:19:11	0.0048836	-0.00389179	0.0193332	0.065069
00:19:26	-5.9958e-05	-0.00929944	0.0072194	0.0669339
00:19:41	0.00421425	-0.0122548	0.00905631	0.0446441
00:19:56	0.00684865	-0.00968851	0.0144776	0.0745036
00:20:11	0.00110341	-0.00921908	0.0138959	0.0652668
00:20:26	0.000854082	-0.00916101	0.0105218	0.0663871
00:20:40	-0.00163314	-0.013598	0.0216716	0.0591112
00:20:56	-0.0092656	-0.0121795	0.0133902	0.0602472
00:21:11	-0.000289321	-0.0120233	0.0168873	0.0579343
00:21:26	0.0043623	-0.0076573	0.0186989	0.0626449
00:21:41	0.00282723	0.110383	0.0184171	0.158341
00:21:56	0.0379923	0.792623	0.0976143	0.686531
00:22:11	0.11414	1.9807	0.382115	1.59761
00:22:26	0.143723	2.04447	0.507281	1.63668
00:22:41	0.0868761	1.11334	0.320239	0.9259
00:22:56	0.0343192	0.470926	0.146935	0.402873
00:23:11	0.00847397	0.187626	0.0662556	0.222277
00:23:26	0.00798759	0.0620021	0.0293518	0.103432
00:23:41	0.00691051	0.016496	0.0152875	0.0708388
00:23:56	-0.00234621	-0.00229837	0.0151806	0.0721951
00:24:11	-0.00153074	-0.00594582	0.0127375	0.0646058
00:24:26	-0.0019449	-0.0102933	0.00865184	0.058868
00:24:41	-0.0032087	-0.0102869	0.0162851	0.0714256
00:24:56	0.000355126	-0.0107224	0.0146116	0.0383598
00:25:11	0.00466753	-0.00860344	0.0181184	0.0599439
00:25:26	-0.00238444	-0.0136587	0.0178027	0.0573632
00:25:41	0.00492574	-0.00617944	0.0146695	0.0664499
00:25:56	-0.00491376	-0.0130983	0.0175084	0.0695553
00:26:11	-0.00585776	-0.0119415	0.012738	0.0698396
00:26:26	0.000469012	-0.0123837	0.0242512	0.0616155
00:26:41	-0.000404759	-0.00869582	0.0197959	0.0631467
00:26:56	0.00210343	-0.0096874	0.0136987	0.0721178
00:27:11	0.00157298	-0.00545579	0.0140182	0.0675496
00:27:26	-0.0015164	-0.00977168	0.0153828	0.079643
00:27:41	-0.0030738	0.0192441	0.0158109	0.0934279
00:27:56	0.0146438	0.303215	0.0341786	0.32991
00:28:11	0.0688473	1.29421	0.194095	1.11136
00:28:26	0.128975	2.04722	0.418993	1.67581
00:28:41	0.117674	1.54718	0.389026	1.23562
00:28:56	0.0569086	0.691954	0.197004	0.5794
00:29:11	0.0228532	0.266431	0.088181	0.290625
00:29:26	-0.00116163	0.0946847	0.0419286	0.140101
00:29:41	0.000348227	0.0300469	0.0187294	0.0836675
00:29:56	-0.000452934	-0.00112627	0.0209125	0.0934381
00:30:11	-0.00644756	-0.00782579	0.023443	0.0709686
00:30:26	-0.00676888	-0.00718246	0.0216665	0.0609341
00:30:41	0.000530312	-0.0115169	0.0154385	0.0816106
00:30:56	0.00152393	-0.0145957	0.0176604	0.077775
00:31:11	0.00404603	-0.0105139	0.0214308	0.0675877
00:31:26	-0.00738775	-0.0111804	0.0177162	0.0716184
00:31:41	0.00317059	-0.0119221	0.0224595	0.0510826
00:31:56	-9.1619e-05	-0.0119958	0.0154028	0.0741635
00:32:11	-0.000724934	-0.0141369	0.0232552	0.0712548
00:32:26	0.000331187	-0.0115574	0.0208943	0.0820947
00:32:41	-0.00125739	-0.0105614	0.0174929	0.0445304
00:32:56	0.000710085	-0.00586613	0.0207621	0.0626874
00:33:11	-0.000534465	-0.0132132	0.0174425	0.0842706
00:33:26	-0.00271916	-0.011578	0.0148127	0.0726044
00:33:41	-0.000971149	-0.0121008	0.0213273	0.0790498
00:33:56	0.000796282	0.00489292	0.0222968	0.096499
00:34:11	0.00902405	0.220208	0.0291522	0.254213
00:34:26	0.0445665	1.0502	0.14559	0.933054
00:34:41	0.107349	1.8669	0.343665	1.55327
00:34:56	0.100343	1.55617	0.346812	1.2733
00:35:11	0.0491492	0.71858	0.198077	0.628064
00:35:26	0.0210145	0.26442	0.0825824	0.280326
00:35:41	0.00994167	0.0857558	0.0350089	0.158901
00:35:56	-0.00307074	0.0213472	0.027908	0.0944413
00:36:11	-0.00145086	0.00121326	0.0185148	0.0728307
00:36:26	-0.00285914	-0.00855085	0.0189067	0.067583
00:36:40	-0.00267386	-0.00665415	0.015203	0.0695333
00:36:56	0.00133877	-0.0118227	0.0223515	0.0621374
00:37:11	-0.00155906	-0.0145613	0.0172946	0.0821265
00:37:26	0.000715855	-0.0136658	0.0278038	0.0750852
00:37:41	0.00299001	-0.0120374	0.0145348	0.0745623
00:37:56	-0.00172711	-0.0112987	0.0209912	0.0753016
00:38:11	0.00306594	-0.00794715	0.020309	0.0493015
00:38:26	-0.00247546	-0.0151819	0.0231028	0.0861691
00:38:41	-2.13977e-05	-0.0112611	0.0195367	0.0594596
00:38:56	-0.00248248	-0.00822929	0.0242795	0.0876852
00:39:11	-0.000164377	-0.0125031	0.0206387	0.0620028
00:39:26	-0.00500748	-0.0161221	0.0170188	0.075775
00:39:41	-0.000618971	-0.00891149	0.011545	0.0640397
00:39:56	-0.00236037	-0.0120535	0.0133048	0.0839536
00:40:11	-0.00241664	-0.00954866	0.0285102	0.0833174
00:40:26	-0.00328376	0.0190985	0.0201094	0.10106
00:40:41	0.010688	0.320674	0.0396474	0.348302
00:40:56	0.0476165	1.19287	0.161613	1.06664
00:41:11	0.0967939	1.74214	0.307894	1.45468
00:41:26	0.0769292	1.25616	0.261158	1.08817
00:41:41	0.0391097	0.539864	0.14111	0.50572
00:41:56	0.00694425	0.189548	0.0575672	0.238585
00:42:11	0.00547483	0.0642205	0.0345266	0.137313
00:42:26	0.00427716	0.0140623	0.0274502	0.11368
00:42:41	-0.00198249	-0.00418218	0.020247	0.0959408
00:42:56	-0.00608358	-0.0132781	0.02551	0.0887725
00:43:11	-0.00163232	-0.0124252	0.0180695	0.0727747
00:43:26	-0.00189805	-0.0140834	0.0157089	0.0727881
00:43:41	-0.0056539	-0.00995709	0.0198401	0.0897251
00:43:56	-0.0026914	-0.00944583	0.0271385	0.0830856
00:44:11	0.00210144	-0.0148313	0.0264934	0.0814267
00:44:26	0.00233098	-0.0119651	0.0171542	0.0838333
00:44:41	-0.000268396	-0.0165112	0.0203759	0.05055
00:44:56	-0.00437192	-0.0108069	0.0295955	0.0840532
00:45:11	-0.006641	-0.0140367	0.0221394	0.0634582
00:45:26	0.00373157	-0.011648	0.0180011	0.06848
00:45:41	0.00273126	-0.0181746	0.0156292	0.0878868
00:45:56	0.00102199	-0.0106714	0.0276779	0.0803565
00:46:11	-0.00432886	-0.0192315	0.0231119	0.0746386
00:46:26	0.000426724	-0.00840077	0.0235722	0.0762009
00:46:41	-0.000665474	0.00190555	0.0186316	0.113049
00:46:56	0.00320628	0.193681	0.0306016	0.264106
00:47:10	0.0279078	0.833195	0.0871055	0.80797
00:47:26	0.0727928	1.57053	0.220918	1.36191
00:47:40	0.07275	1.3515	0.237466	1.15767
00:47:56	0.0299468	0.604023	0.131139	0.587313
00:48:11	0.00864938	0.212533	0.0550103	0.27799
00:48:26	-0.000258284	0.0607463	0.0430256	0.14223
00:48:41	-0.0018548	0.0138909	0.0227807	0.113062
00:48:56	-0.00286885	-0.000839934	0.0202229	0.0860574
00:49:11	-0.00233634	-0.0130109	0.0260617	0.0794325
00:49:26	0.000104333	-0.0103919	0.0215293	0.0972494
00:49:41	-0.00469658	-0.00851841	0.0228014	0.0912804
00:49:56	-0.00224163	-0.0108636	0.0173166	0.077318
00:50:11	-0.00018086	-0.016469	0.0207729	0.0768696
00:50:26	-0.00628518	-0.0137389	0.0169757	0.0882732
00:50:41	-0.00580706	-0.0147304	0.0155581	0.0731236
00:50:56	-0.00219378	-0.0156919	0.0162952	0.0794043
00:51:11	0.000258836	-0.0104122	0.0186461	0.0895237
