Relative Time	Peak at 1592 cm-1	Peak at 1719 cm-1	Annotations
07:09:11	0.015236	0.116098	
07:09:26	0.0151852	0.1231	
07:09:41	0.0206711	0.109643	
07:09:56	0.0199397	0.115723	
07:10:11	0.0177904	0.119905	
07:10:26	0.0182218	0.111429	
07:10:41	0.0171269	0.112777	
07:10:56	0.0174761	0.125082	
07:11:11	0.0180603	0.126666	
07:11:26	0.0208248	0.116283	
07:11:41	0.0192571	0.126994	
07:11:57	0.01972	0.128325	
07:12:11	0.016914	0.125124	
07:12:26	0.0184788	0.131794	
07:12:41	0.0185658	0.133593	
07:12:56	0.0186329	0.133581	
07:13:11	0.155195	0.867987	
07:13:26	0.212896	1.21314	
07:13:41	0.1737	0.982194	
07:13:56	0.0946726	0.546738	
07:14:11	0.0922774	0.507602	
07:14:26	0.0900622	0.503015	
07:14:40	0.0918966	0.479674	
07:14:56	0.0876725	0.465862	
07:15:11	0.0866392	0.457738	
07:15:26	0.0865852	0.438446	
07:15:41	0.084018	0.442226	
07:15:56	0.0830647	0.443049	
07:16:11	0.0838534	0.420784	
07:16:26	0.0839742	0.420822	
07:16:41	0.0416939	0.170076	
07:16:56	0.0173969	0.095366	
07:17:11	0.0169694	0.0982417	
07:17:26	0.013508	0.101498	
07:17:41	0.0141037	0.105369	
07:17:56	0.0182206	0.116554	
07:18:11	0.0198503	0.114377	
07:18:26	0.0179266	0.114901	
07:18:41	0.0181236	0.127476	
07:18:56	0.0162922	0.120582	
07:19:11	0.0205405	0.124044	
07:19:26	0.0199095	0.127513	
07:19:41	0.0211982	0.119482	
07:19:56	0.0197783	0.137655	
07:20:11	0.0184664	0.129111	
07:20:26	0.0225116	0.134065	
07:20:41	0.0206823	0.120335	
07:20:56	0.0211905	0.14139	
07:21:11	0.0202827	0.124905	
07:21:26	0.0217487	0.133324	
07:21:41	0.0222619	0.126598	
07:21:56	0.0216848	0.129306	
07:22:11	0.0216267	0.142061	
07:22:26	0.0233697	0.137606	
07:22:41	0.0222461	0.141809	
07:22:56	0.0229745	0.137869	
07:23:11	0.0237938	0.134331	
07:23:26	0.0220767	0.131211	
07:23:41	0.0203439	0.128501	
07:23:56	0.0236247	0.147183	
07:24:11	0.0238602	0.147569	
07:24:26	0.0259598	0.138503	
07:24:41	0.0934074	0.613918	
07:24:56	0.155505	1.09194	
07:25:11	0.129648	0.932249	
07:25:26	0.0750932	0.507038	
07:25:41	0.074025	0.483298	
07:25:57	0.0727327	0.484832	
07:26:11	0.0716004	0.471159	
07:26:26	0.0705142	0.456408	
07:26:41	0.0698997	0.442641	
07:26:56	0.0698292	0.432022	
07:27:11	0.0690172	0.427314	
07:27:26	0.0708457	0.411124	
07:27:41	0.0682886	0.414597	
07:27:56	0.0711345	0.428676	
07:28:11	0.00339953	0.02952	
07:28:26	0.00998771	0.0633697	
07:28:41	0.0103967	0.0681233	
07:28:56	0.0114602	0.0786552	
07:29:12	0.0126539	0.0760665	
07:29:26	0.0129856	0.08666	
07:29:41	0.0149373	0.0877708	
07:29:56	0.0139791	0.100621	
07:30:11	0.014109	0.0944419	
07:30:26	0.0144645	0.114811	
07:30:41	0.0174247	0.109729	
07:30:56	0.0192524	0.0926545	
07:31:11	0.0179183	0.115393	
07:31:26	0.0184846	0.112592	
07:31:41	0.0169913	0.12553	
07:31:56	0.0198458	0.116807	
07:32:11	0.0195681	0.117561	
07:32:26	0.0184652	0.122855	
07:32:41	0.0215056	0.13679	
07:32:56	0.0180503	0.136334	
07:33:11	0.0161395	0.136186	
