RT [min],Type,Width [min],Area,Height,Area%,Name,Data file,Sample name,Sample amount,Instrument,Injection date,Acq. method,Analysis method,Last changed,Signal,Sample type,Location,Injection,Injection volume,Acq. operator
7.054,BB  ,0.8226,1188.1978,122.6763,2.0802,,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 6.sirslt\PD-007 - Q 6.dx,PD-007 - Q 6,0.000,1100LC,2019-08-26 12:30:13+01:00,PD - TEMPO Gradient.amx,*GC_LC Area Percent_DefaultMethod.pmx,2019-06-19 10:57:01+01:00,"VWD1A,Wavelength=210 nm",Sample,18,1 of 1,2.000,SYSTEM
1.538,BB  ,3.0147,56223.5787,2749.1316,97.0656,,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 7.sirslt\PD-007 - Q 7.dx,PD-007 - Q 7,0.000,1100LC,2019-08-26 13:04:11+01:00,PD - TEMPO Gradient.amx,*GC_LC Area Percent_DefaultMethod.pmx,2019-06-19 10:57:01+01:00,"VWD1A,Wavelength=210 nm",Sample,21,1 of 1,2.000,SYSTEM
5.095,BB  ,0.8251,408.5768,23.0491,0.7054,,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 7.sirslt\PD-007 - Q 7.dx,PD-007 - Q 7,0.000,1100LC,2019-08-26 13:04:11+01:00,PD - TEMPO Gradient.amx,*GC_LC Area Percent_DefaultMethod.pmx,2019-06-19 10:57:01+01:00,"VWD1A,Wavelength=210 nm",Sample,21,1 of 1,2.000,SYSTEM
7.095,BB  ,1.0522,1291.1351,134.3653,2.229,,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 7.sirslt\PD-007 - Q 7.dx,PD-007 - Q 7,0.000,1100LC,2019-08-26 13:04:11+01:00,PD - TEMPO Gradient.amx,*GC_LC Area Percent_DefaultMethod.pmx,2019-06-19 10:57:01+01:00,"VWD1A,Wavelength=210 nm",Sample,21,1 of 1,2.000,SYSTEM
1.558,BB  ,3.0697,56819.6262,2748.983,97.0282,,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 8.sirslt\PD-007 - Q 8.dx,PD-007 - Q 8,0.000,1100LC,2019-08-26 13:38:04+01:00,PD - TEMPO Gradient.amx,*GC_LC Area Percent_DefaultMethod.pmx,2019-06-19 10:57:01+01:00,"VWD1A,Wavelength=210 nm",Sample,24,1 of 1,2.000,SYSTEM
5.14,BB  ,0.8056,329.5639,19.0625,0.5628,,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 8.sirslt\PD-007 - Q 8.dx,PD-007 - Q 8,0.000,1100LC,2019-08-26 13:38:04+01:00,PD - TEMPO Gradient.amx,*GC_LC Area Percent_DefaultMethod.pmx,2019-06-19 10:57:01+01:00,"VWD1A,Wavelength=210 nm",Sample,24,1 of 1,2.000,SYSTEM
7.073,BB  ,1.0694,1410.7289,144.9031,2.409,,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 8.sirslt\PD-007 - Q 8.dx,PD-007 - Q 8,0.000,1100LC,2019-08-26 13:38:04+01:00,PD - TEMPO Gradient.amx,*GC_LC Area Percent_DefaultMethod.pmx,2019-06-19 10:57:01+01:00,"VWD1A,Wavelength=210 nm",Sample,24,1 of 1,2.000,SYSTEM
1.517,BB  ,3.0339,55535.9146,2747.8624,97.1077,,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 9.sirslt\PD-007 - Q 9.dx,PD-007 - Q 9,0.000,1100LC,2019-08-26 14:11:57+01:00,PD - TEMPO Gradient.amx,*GC_LC Area Percent_DefaultMethod.pmx,2019-06-19 10:57:01+01:00,"VWD1A,Wavelength=210 nm",Sample,27,1 of 1,2.000,SYSTEM
5.058,BB  ,0.8105,257.4652,14.2706,0.4502,,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 9.sirslt\PD-007 - Q 9.dx,PD-007 - Q 9,0.000,1100LC,2019-08-26 14:11:57+01:00,PD - TEMPO Gradient.amx,*GC_LC Area Percent_DefaultMethod.pmx,2019-06-19 10:57:01+01:00,"VWD1A,Wavelength=210 nm",Sample,27,1 of 1,2.000,SYSTEM
7.086,BB  ,0.8171,1396.6689,143.9999,2.4422,,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 9.sirslt\PD-007 - Q 9.dx,PD-007 - Q 9,0.000,1100LC,2019-08-26 14:11:57+01:00,PD - TEMPO Gradient.amx,*GC_LC Area Percent_DefaultMethod.pmx,2019-06-19 10:57:01+01:00,"VWD1A,Wavelength=210 nm",Sample,27,1 of 1,2.000,SYSTEM
