Relative Time	Peak at 1592 cm-1	Peak at 1719 cm-1	Annotations
08:50:11	0.015267	0.108305	
08:50:26	0.0142123	0.106176	
08:50:41	0.0141167	0.11844	
08:50:56	0.0143957	0.119764	
08:51:11	0.0138411	0.113819	
08:51:26	0.0192813	0.115747	
08:51:41	0.0148718	0.113688	
08:51:56	0.0178482	0.118567	
08:52:11	0.0154335	0.117707	
08:52:26	0.0170393	0.120918	
08:52:41	0.0168008	0.134646	
08:52:56	0.0190113	0.120523	
08:53:11	0.0173274	0.120646	
08:53:26	0.0174752	0.133742	
08:53:41	0.0174172	0.132598	
08:53:56	0.0193218	0.128675	
08:54:11	0.0171391	0.14063	
08:54:26	0.0174133	0.131792	
08:54:41	0.0182551	0.134861	
08:54:56	0.0176348	0.133891	
08:55:11	0.0175121	0.137866	
08:55:26	0.0208689	0.140138	
08:55:41	0.020209	0.125583	
08:55:56	0.0209547	0.153267	
08:56:12	0.0927755	0.52255	
08:56:26	0.20703	1.17167	
08:56:41	0.220733	1.21545	
08:56:56	0.0980669	0.551971	
08:57:11	0.0954236	0.523179	
08:57:26	0.0886763	0.496248	
08:57:41	0.0894582	0.476844	
08:57:56	0.0912233	0.473487	
08:58:11	0.0892471	0.464105	
08:58:26	0.0880572	0.448596	
08:58:41	0.0848992	0.454089	
08:58:56	0.0835361	0.445766	
08:59:11	0.0841793	0.430732	
08:59:26	0.0814545	0.425261	
08:59:41	0.0843413	0.431766	
08:59:56	0.0197161	0.0806103	
09:00:11	0.0155429	0.0901552	
09:00:26	0.0138446	0.0961099	
09:00:41	0.0157431	0.0932591	
09:00:56	0.0147326	0.103802	
09:01:11	0.0168678	0.0973884	
09:01:26	0.0187011	0.106732	
09:01:41	0.0188449	0.113442	
09:01:56	0.0198115	0.127784	
09:02:11	0.0227016	0.120584	
09:02:26	0.0204155	0.119249	
09:02:41	0.0216224	0.121971	
09:02:56	0.0210462	0.127778	
09:03:11	0.0203921	0.137023	
09:03:26	0.0210379	0.134136	
09:03:41	0.0197241	0.133393	
09:03:56	0.0222772	0.126574	
09:04:11	0.0220717	0.122642	
09:04:26	0.0240405	0.132744	
09:04:41	0.0233261	0.125449	
09:04:56	0.0201952	0.134614	
09:05:11	0.0217176	0.143154	
09:05:26	0.0216959	0.126891	
09:05:41	0.0227667	0.131485	
09:05:56	0.0212054	0.142721	
09:06:11	0.0219011	0.133504	
09:06:26	0.0238935	0.154406	
09:06:41	0.0235794	0.14007	
09:06:56	0.0258712	0.149176	
09:07:11	0.0259575	0.145978	
09:07:26	0.0247476	0.147184	
09:07:41	0.0246981	0.14225	
09:07:56	0.134056	0.873033	
09:08:11	0.175214	1.17894	
09:08:26	0.134487	0.908962	
09:08:41	0.0868829	0.547091	
09:08:56	0.0810713	0.536426	
09:09:11	0.0812408	0.520942	
09:09:26	0.0793126	0.505783	
09:09:41	0.0804578	0.489397	
09:09:56	0.0736232	0.483754	
09:10:11	0.0800888	0.466924	
09:10:26	0.0708842	0.464923	
09:10:41	0.0738878	0.447028	
09:10:56	0.0755079	0.446989	
09:11:11	0.0826959	0.46602	
09:11:26	0.00566972	0.0349201	
09:11:41	0.0080666	0.064026	
09:11:55	0.0103756	0.0652992	
09:12:11	0.011495	0.0686794	
09:12:26	0.0102799	0.0802477	
09:12:41	0.0104643	0.0836718	
09:12:56	0.0137286	0.0895286	
09:13:11	0.0158254	0.081174	
09:13:26	0.014769	0.0994963	
09:13:41	0.0151487	0.104974	
09:13:56	0.0159226	0.131363	
09:14:11	0.0166586	0.104447	
09:14:26	0.0215957	0.113453	
09:14:41	0.0155265	0.122324	
09:14:56	0.0179002	0.128596	
09:15:11	0.0194102	0.122603	
09:15:26	0.0173004	0.127502	
09:15:41	0.0182666	0.13643	
09:15:56	0.020851	0.126291	
09:16:11	0.0231324	0.135111	
09:16:26	0.0232088	0.132674	
09:16:41	0.0200668	0.142592	
09:16:56	0.0235463	0.139195	
09:17:11	0.0231817	0.133154	
09:17:26	0.0238277	0.131471	
09:17:41	0.0197773	0.134981	
09:17:56	0.0243713	0.149146	
09:18:11	0.023187	0.137527	
09:18:26	0.0229369	0.150456	
09:18:41	0.0230604	0.158892	
09:18:56	0.0229843	0.151434	
09:19:11	0.0421186	0.314916	
09:19:26	0.0906053	0.643607	
09:19:41	0.112676	0.76857	
09:19:56	0.0796149	0.538899	
09:20:11	0.080388	0.530412	
09:20:26	0.0770709	0.49397	
09:20:41	0.0747329	0.498263	
09:20:56	0.0770652	0.482401	
09:21:11	0.0769029	0.468775	
09:21:26	0.0770216	0.4692	
09:21:41	0.0765343	0.45481	
09:21:56	0.0736163	0.458564	
09:22:11	0.0727704	0.434401	
09:22:26	0.0699273	0.444904	
09:22:41	0.0446201	0.271141	
