Relative Time	Peak at 829 cm-1	Peak at 1204 cm-1	Peak at 1704 cm-1	Peak at 1753 cm-1	Annotations
00:21:56	0.171966	2.64362	0.596791	2.044	
00:22:11	0.151302	2.32453	0.541941	1.80876	
00:22:26	0.126856	1.94876	0.478049	1.49843	
00:22:41	0.104887	1.56132	0.387868	1.17905	
00:22:56	0.0857146	1.22565	0.292208	0.949919	
00:23:11	0.0671119	0.962166	0.227086	0.74276	
00:23:26	0.0500716	0.741268	0.170947	0.595179	
00:23:41	0.0395566	0.560629	0.128824	0.443038	
00:23:56	0.0236068	0.411683	0.0904188	0.361429	
00:24:11	0.0174905	0.302493	0.0666213	0.262871	
00:24:26	0.0173479	0.235453	0.0540301	0.175529	
00:24:41	0.010482	0.162901	0.0265982	0.160041	
00:24:56	0.00357969	0.119115	0.0220931	0.121264	
00:25:11	0.00156103	0.0449288	0.0108664	0.0574435	
00:25:26	0.0069113	0.0112346	0.000177642	0.0285239	
00:25:41	0.00334669	-0.000863907	0.0052316	0.0398272	
00:25:56	0.000825296	-0.00275201	0.00662494	0.027129	
00:26:11	0.000295863	-0.00468597	-0.00522792	0.0533145	
00:26:26	-0.000313376	0.00550925	-0.00578262	0.0520889	
00:26:41	0.00392453	0.0632812	0.00336121	0.104545	
00:26:56	0.00659354	0.283256	0.0116446	0.282765	
00:27:11	0.0223859	0.851764	0.0651492	0.742574	
00:27:26	0.078854	1.87707	0.230451	1.54131	
00:27:41	0.144263	2.75394	0.463647	2.2099	
00:27:56	0.173489	2.82353	0.599426	2.20313	
00:28:11	0.160604	2.56934	0.547978	2.02209	
00:28:26	0.141251	2.197	0.485815	1.70265	
00:28:41	0.124405	1.89711	0.435151	1.47471	
00:28:56	0.103787	1.54404	0.358994	1.19356	
00:29:11	0.0806108	1.21254	0.277275	0.961403	
00:29:26	0.0603828	0.951242	0.212126	0.746917	
00:29:41	0.0490227	0.736239	0.16516	0.587231	
00:29:56	0.0365746	0.551781	0.112292	0.454552	
00:30:11	0.0293973	0.409584	0.0883323	0.344101	
00:30:26	0.0164949	0.303237	0.0620139	0.25353	
00:30:41	0.0136638	0.220211	0.0489825	0.218191	
00:30:56	0.0138211	0.166554	0.0346533	0.185787	
00:31:11	0.00533036	0.114514	0.0200346	0.134786	
00:31:26	0.00800829	0.0429012	0.0100037	0.089093	
00:31:41	-0.00761882	0.0116767	-0.00817214	0.0412579	
00:31:56	-0.000938072	-0.000811693	-0.00164372	0.0687529	
00:32:11	-0.000529196	-0.00375547	0.00565899	0.03368	
00:32:26	0.00217829	-0.00886246	-0.00421133	0.0266288	
00:32:41	-0.00135745	-0.00226265	3.79611e-05	0.0391363	
00:32:56	0.00265848	0.0271512	0.00408733	0.057693	
00:33:11	0.00158186	0.151362	-0.00241334	0.160025	
00:33:26	0.0199363	0.524584	0.0237409	0.485226	
00:33:41	0.043413	1.31369	0.117565	1.11732	
00:33:56	0.104976	2.28843	0.311261	1.8753	
00:34:11	0.143347	2.70969	0.494932	2.1489	
00:34:26	0.153262	2.528	0.497463	1.98647	
00:34:41	0.130627	2.18518	0.436467	1.70629	
00:34:56	0.109782	1.77544	0.365193	1.384	
00:35:10	0.0947278	1.49882	0.320073	1.17498	
00:35:26	0.0794413	1.21198	0.257788	0.94249	
00:35:41	0.0545029	0.961685	0.198759	0.774449	
00:35:56	0.0486617	0.747519	0.152025	0.599615	
00:36:11	0.0307934	0.561786	0.115688	0.462598	
00:36:26	0.0232173	0.418871	0.0795224	0.341171	
00:36:41	0.0143331	0.305448	0.0570248	0.283102	
00:36:56	0.00975463	0.223306	0.0433788	0.202212	
00:37:11	0.00873079	0.170059	0.0373478	0.146302	
00:37:26	0.00814769	0.112949	0.0231575	0.133464	
00:37:40	0.00328201	0.0526754	0.0073404	0.0786072	
00:37:56	-0.0057229	0.0100225	0.00318868	0.050822	
00:38:11	-0.00269622	-0.0036484	0.00310258	0.0514356	
00:38:26	-0.00160752	-0.00496013	0.00488905	0.0301462	
00:38:41	0.00225585	-0.00832024	-0.00264108	0.0459386	
00:38:56	-0.00288117	-0.0097336	0.00934985	0.0315911	
00:39:11	0.00141262	-0.00513925	0.00431917	0.0527612	
00:39:26	-0.00220084	0.0326646	-0.00206675	0.0553789	
00:39:41	0.00567069	0.182599	-0.00362902	0.197713	
00:39:56	0.0166151	0.602342	0.0256537	0.538165	
00:40:11	0.0474925	1.4185	0.125787	1.17571	
00:40:26	0.0981353	2.27317	0.307203	1.8561	
00:40:41	0.13356	2.49695	0.439466	2.01833	
00:40:56	0.129355	2.28801	0.415354	1.84793	
00:41:11	0.108994	1.91789	0.354042	1.54653	
00:41:26	0.0832816	1.45408	0.282027	1.19432	
00:41:41	0.0633781	1.02224	0.203147	0.830319	
00:41:56	0.0413115	0.63763	0.120405	0.557809	
00:42:11	0.0222323	0.399727	0.0803902	0.359482	
00:42:26	0.0135231	0.269776	0.0505752	0.248698	
00:42:41	0.00921501	0.190577	0.0352461	0.203868	
00:42:56	0.00522794	0.140912	0.0313313	0.157824	
00:43:11	0.00810864	0.101614	0.0124532	0.120648	
00:43:26	0.00155922	0.0504571	0.0184631	0.108862	
00:43:41	-0.00264122	0.00993005	0.003912	0.0614613	
00:43:56	-0.00641441	0.00101732	0.0104619	0.0388696	
00:44:11	-0.000662163	-0.00718864	0.0064066	0.0327461	
00:44:26	-0.00206964	-0.00900576	0.00287083	0.0430758	
00:44:41	-0.0025109	-0.013632	-0.00653653	0.0614294	
00:44:56	-0.000751737	-0.0118867	-0.000744002	0.0333194	
00:45:11	-0.00150902	-0.0117893	0.00227817	0.0679592	
00:45:26	0.00315613	-0.0100393	-0.00177411	0.0400298	
00:45:41	0.00107806	0.0302498	0.00407693	0.0739676	
00:45:56	0.00377792	0.174838	0.0135622	0.188986	
00:46:11	0.0179147	0.570422	0.011188	0.511618	
00:46:26	0.0463333	1.32372	0.105725	1.14019	
00:46:41	0.0828622	2.10546	0.249722	1.74475	
00:46:56	0.111626	2.29759	0.358384	1.89767	
00:47:11	0.103122	2.09423	0.342297	1.69247	
00:47:26	0.0893845	1.70407	0.283416	1.38136	
00:47:40	0.0695591	1.21502	0.213778	0.999365	
00:47:56	0.0449972	0.768636	0.137594	0.641056	
00:48:11	0.0267009	0.478501	0.0839083	0.421766	
00:48:26	0.0159981	0.307351	0.0561347	0.297208	
00:48:41	0.0125433	0.207828	0.0408165	0.230393	
00:48:56	0.00905069	0.150312	0.0296381	0.185067	
00:49:11	0.000344782	0.109375	0.0188901	0.156062	
00:49:26	0.00225012	0.0634242	0.0146929	0.109063	
00:49:41	-0.00286157	0.0136064	0.00814766	0.054803	
00:49:56	-0.0046588	-0.00699376	0.00384538	0.0618866	
00:50:11	0.00221868	-0.00500398	0.000456472	0.0514487	
00:50:26	-0.00434802	-0.0119532	-0.00300187	0.0491163	
00:50:41	-0.00969286	-0.00969702	0.00731118	0.0716925	
00:50:56	-0.000364311	-0.0119709	0.00655734	0.0471871	
00:51:11	-0.00876933	-0.0207714	0.00593678	0.0554081	
00:51:26	-0.00638873	-0.0134441	-0.00270599	0.0533283	
00:51:41	-0.0063407	-0.00822069	0.00440266	0.0343405	
00:51:56	-0.00201675	-0.00187112	-0.00126357	0.058419	
00:52:11	-0.00235347	0.0592992	0.00482112	0.109011	
00:52:26	0.00592337	0.253983	0.00192153	0.268997	
00:52:41	0.0236868	0.742086	0.0212841	0.670016	
00:52:56	0.0414688	1.4821	0.112981	1.27377	
00:53:11	0.0774826	2.07088	0.232876	1.72956	
00:53:26	0.0961356	2.02811	0.28565	1.694	
00:53:41	0.0791465	1.81869	0.251471	1.49679	
00:53:56	0.068578	1.38318	0.204473	1.15926	
00:54:11	0.0425356	0.88908	0.137689	0.755689	
00:54:26	0.0276486	0.562062	0.0875642	0.50108	
00:54:41	0.0155398	0.350462	0.050478	0.34003	
00:54:56	0.00899464	0.23182	0.034917	0.254014	
00:55:11	0.00281902	0.161362	0.0243708	0.178348	
00:55:26	0.00233493	0.11977	0.0203083	0.172334	
00:55:41	0.00194349	0.0771816	0.0112043	0.131766	
00:55:56	0.000339225	0.018476	0.00819815	0.0646394	
00:56:11	-0.000252005	-0.00256904	0.00679186	0.0506027	
00:56:26	0.0016403	-0.00205213	-0.000364906	0.061793	
00:56:41	-0.00481816	-0.0109662	0.00608383	0.0481692	
00:56:56	-0.00267842	-0.00959038	0.0057329	0.0663706	
00:57:11	-0.000583716	-0.0102499	0.0109731	0.0584132	
00:57:26	-4.06816e-05	-0.0136846	0.00612722	0.0521072	
00:57:41	-7.91237e-05	-0.00790581	0.00139723	0.0476521	
00:57:56	0.00788728	-0.00978696	0.0147912	0.0537284	
00:58:11	0.00201767	0.0357789	0.0076658	0.0918635	
00:58:26	0.000963457	0.177186	0.00585625	0.225073	
00:58:41	0.0108521	0.541512	0.00578315	0.534459	
00:58:56	0.023288	1.17887	0.0519107	1.03848	
00:59:11	0.0514203	1.78974	0.132814	1.52004	
00:59:26	0.0605074	1.88925	0.196296	1.6045	
00:59:41	0.0609528	1.70494	0.186584	1.45176	
00:59:56	0.0490446	1.34403	0.149041	1.12951	
01:00:11	0.0362924	0.869154	0.105517	0.768895	
01:00:26	0.0168912	0.532391	0.0638029	0.500611	
01:00:41	0.0157811	0.335438	0.0418152	0.316488	
01:00:56	0.0026877	0.227841	0.0297532	0.264901	
01:01:11	0.00584158	0.152978	0.0243588	0.202594	
01:01:26	-0.00164954	0.10672	0.0150861	0.154643	
01:01:41	0.0017475	0.0760863	0.0160744	0.1238	
01:01:56	0.00354978	0.0205551	0.00321077	0.0892498	
01:02:11	-0.00130206	-0.00438734	0.0140188	0.0565997	
01:02:26	-0.00271527	-0.0138711	0.0070604	0.0461564	
01:02:41	-0.00466997	-0.0175642	0.00992412	0.0455974	
01:02:56	-0.00171269	-0.0162709	0.00551947	0.0509761	
01:03:11	-0.00554022	-0.0177451	0.0078615	0.0656568	
01:03:26	0.00585597	-0.015548	0.0070657	0.0561893	
01:03:41	-0.000914795	-0.0165346	0.00595266	0.0478506	
01:03:56	0.00511883	-0.0114571	0.0133918	0.0618916	
01:04:11	0.0028366	-0.0116175	0.0119855	0.0568237	
01:04:26	-0.00376416	0.00459778	0.0107561	0.0661475	
01:04:41	-0.00259847	0.0795275	0.0105171	0.134263	
01:04:56	0.00608918	0.309319	0.00559293	0.323508	
01:05:11	0.0107123	0.776915	0.00592185	0.719906	
01:05:26	0.0249418	1.3956	0.031604	1.25445	
01:05:41	0.040462	1.72238	0.0872873	1.51711	
01:05:56	0.0447817	1.58213	0.118459	1.37214	
01:06:11	0.0400787	1.3858	0.0946692	1.18003	
01:06:26	0.0297873	0.959276	0.0729979	0.861499	
01:06:41	0.0166948	0.583806	0.0517519	0.551091	
01:06:56	0.00513351	0.356378	0.0336942	0.364858	
01:07:11	0.000118093	0.234372	0.0302491	0.249235	
01:07:26	0.00709958	0.16678	0.0181223	0.202267	
01:07:41	-0.00368213	0.115878	0.018802	0.149396	
01:07:56	-0.00257597	0.0791398	0.0195599	0.152884	
01:08:11	-0.0049377	0.0228503	0.00982846	0.0913542	
01:08:26	-0.000998567	0.000685515	0.00463812	0.0633289	
01:08:41	-0.00591041	-0.00397659	0.00587843	0.0524554	
01:08:56	-0.00336286	-0.0164376	0.00644732	0.0684167	
01:09:11	-0.00247575	-0.0155371	0.010579	0.0494969	
01:09:26	-0.00226652	-0.0113558	0.0131824	0.0327629	
01:09:41	-0.00510923	-0.0179411	0.00131988	0.0682175	
01:09:56	0.00302893	-0.0174376	0.0105085	0.0634817	
01:10:11	-0.000364731	-0.0145331	0.0120231	0.0666313	
01:10:26	-0.00137424	-0.0127847	0.00526352	0.0527107	
01:10:41	-0.00193708	0.0183896	0.0100477	0.084298	
01:10:56	0.00393476	0.119755	0.00410663	0.147174	
01:11:11	0.00323828	0.387011	0.00332722	0.412368	
01:11:26	0.00790692	0.869428	0.00111272	0.832366	
01:11:41	0.0133271	1.37181	0.01815	1.26235	
01:11:56	0.0143585	1.50944	0.0274285	1.35467	
01:12:11	0.0208593	1.34186	0.0355484	1.20643	
01:12:26	0.016828	1.12945	0.0333502	1.0315	
01:12:41	0.0113785	0.734809	0.0246593	0.676169	
01:12:56	0.00913265	0.439539	0.0150974	0.440772	
01:13:11	0.0012997	0.279941	0.0212102	0.308925	
01:13:26	0.00307995	0.195456	0.0199655	0.236944	
01:13:41	0.000450297	0.137507	0.0167439	0.176169	
01:13:56	-0.00197468	0.101974	0.0148421	0.151698	
01:14:11	-0.00359321	0.0572427	0.0198526	0.110708	
01:14:26	-0.00394677	0.00773335	0.0106989	0.100159	
01:14:41	0.00191707	-0.00207351	0.00725291	0.0681292	
01:14:56	-0.00304294	-0.0124302	0.0103057	0.0695518	
01:15:11	-0.0050732	-0.0124408	0.0169081	0.0561647	
01:15:26	-0.000609176	-0.0122172	0.0104478	0.0705943	
01:15:41	-0.00610908	-0.0190164	0.0177636	0.0634324	
01:15:56	-0.00791219	-0.0206542	0.0110112	0.048243	
01:16:11	-0.00273542	-0.0139274	0.00715084	0.0556692	
01:16:26	0.000594774	-0.0156376	0.0184743	0.0468863	
01:16:41	-0.00583897	-0.00611862	0.0185705	0.0557471	
01:16:56	-0.00145792	0.0139571	0.0136013	0.0979891	
01:17:11	0.00194316	0.164786	0.0440572	0.216166	
01:17:25	0.0262417	0.607632	0.149036	0.565047	
01:17:41	0.110705	1.70972	0.496427	1.3865	
01:17:56	0.255085	3.09335	1.06001	2.35978	
01:18:11	0.370404	3.7855	1.50169	2.80234	
01:18:26	0.360522	3.52962	1.48168	2.5777	
01:18:41	0.322165	3.13217	1.30396	2.31533	
01:18:56	0.283947	2.74298	1.16357	2.00655	
01:19:11	0.237309	2.2363	0.974554	1.6539	
01:19:26	0.187008	1.76252	0.764227	1.31185	
01:19:41	0.141874	1.36363	0.591738	1.04026	
01:19:56	0.0997664	1.05408	0.46014	0.828017	
01:20:11	0.0788156	0.803868	0.351482	0.653327	
01:20:26	0.0541294	0.59276	0.257459	0.528982	
01:20:41	0.0410943	0.430137	0.194716	0.394829	
01:20:56	0.0228544	0.322877	0.148996	0.319371	
01:21:11	0.0258126	0.228891	0.110829	0.248867	
01:21:26	0.0123511	0.167532	0.0805746	0.189025	
01:21:41	0.00739896	0.0785054	0.048778	0.11773	
01:21:56	0.00218921	0.0128857	0.0339255	0.0861518	
01:22:11	-0.000580423	-0.00284985	0.0283514	0.0744923	
01:22:26	-0.00299052	-0.0112985	0.0201525	0.0619437	
01:22:41	-0.00128284	-0.0108165	0.0180486	0.0814643	
01:22:56	0.00021864	-0.00825903	0.0184535	0.0804942	
01:23:11	0.000431262	0.0152325	0.00962366	0.0808018	
01:23:26	0.00319255	0.137768	0.0210979	0.189449	
01:23:41	0.0259817	0.525869	0.068187	0.467	
01:23:56	0.0822729	1.41473	0.260855	1.14685	
01:24:10	0.17386	2.5665	0.612066	1.98456	
01:24:26	0.269889	3.28944	1.01129	2.48408	
01:24:40	0.278815	3.13453	1.07693	2.31388	
01:24:56	0.249114	2.82432	0.957505	2.09202	
01:25:11	0.22406	2.51789	0.889904	1.86568	
01:25:26	0.188606	2.0635	0.751031	1.49687	
01:25:40	0.151214	1.66767	0.613902	1.23028	
01:25:56	0.107107	1.27887	0.470757	0.986467	
01:26:11	0.0791141	1.00727	0.375087	0.758677	
01:26:26	0.0649522	0.774118	0.285995	0.613292	
01:26:41	0.0469374	0.595673	0.215798	0.483066	
01:26:56	0.0385083	0.441103	0.168043	0.394179	
01:27:10	0.0240034	0.32995	0.120158	0.296396	
01:27:26	0.0115903	0.233651	0.0873227	0.225524	
01:27:41	0.0179817	0.172132	0.0724165	0.211357	
01:27:56	0.00148677	0.122109	0.0533614	0.180516	
01:28:11	0.00187201	0.0484117	0.0298069	0.109416	
01:28:25	0.000724985	0.0121908	0.0320742	0.0655473	
01:28:41	-0.00166809	-0.0048203	0.0172737	0.0693454	
01:28:56	-0.00261223	-0.012864	0.0209086	0.0635599	
01:29:11	0.000539749	-0.00233004	0.0187141	0.0651528	
01:29:26	0.00215334	0.0261421	0.0123263	0.0764844	
01:29:41	0.00245252	0.146362	0.0182905	0.191433	
01:29:56	0.024043	0.563673	0.0824283	0.505968	
01:30:11	0.0864188	1.47914	0.27473	1.19463	
01:30:26	0.185057	2.62472	0.635354	2.04058	
01:30:41	0.266355	3.15676	0.979488	2.36682	
01:30:56	0.265142	2.9579	0.991883	2.21411	
01:31:11	0.235101	2.61258	0.881163	1.93443	
01:31:26	0.206732	2.3124	0.814099	1.71352	
01:31:41	0.165622	1.89112	0.681906	1.39211	
01:31:56	0.131054	1.4998	0.539164	1.1251	
01:32:11	0.102644	1.181	0.434555	0.871861	
01:32:26	0.0808408	0.922103	0.323035	0.711606	
01:32:41	0.0640595	0.710399	0.254968	0.566924	
01:32:56	0.0417221	0.544094	0.197342	0.449709	
01:33:11	0.0283979	0.395352	0.147142	0.376064	
01:33:26	0.0210597	0.290013	0.113219	0.268599	
01:33:41	0.0147965	0.210608	0.084473	0.219764	
01:33:56	0.0136112	0.154364	0.0600983	0.171944	
01:34:11	0.00830566	0.10114	0.0423283	0.145416	
01:34:26	-0.000568203	0.0252639	0.0318723	0.0861409	
01:34:41	0.00375851	0.000774036	0.0251683	0.0771525	
01:34:56	-0.00107593	-0.00467347	0.0197056	0.0684133	
01:35:11	-0.000257132	-0.0122636	0.0113059	0.0632506	
01:35:26	-0.00952749	-0.0107712	0.0173784	0.0661067	
01:35:41	-0.00520485	-0.00287274	0.014672	0.0763156	
01:35:56	-0.00297565	0.0602565	0.0129777	0.13231	
01:36:11	0.0106877	0.295557	0.0374955	0.319837	
01:36:26	0.0518987	0.922215	0.146877	0.81055	
01:36:41	0.124973	1.99636	0.435538	1.58328	
01:36:56	0.221841	2.87241	0.783334	2.19759	
01:37:11	0.260415	2.91864	0.961307	2.15759	
01:37:26	0.230833	2.64972	0.874853	2.00154	
01:37:41	0.206421	2.30451	0.781918	1.69456	
01:37:56	0.179117	1.99459	0.690701	1.49052	
01:38:11	0.147617	1.60791	0.569636	1.20477	
01:38:26	0.107793	1.26667	0.443605	0.950069	
01:38:41	0.0896751	0.98646	0.344688	0.788423	
01:38:56	0.0582572	0.766126	0.26067	0.608995	
01:39:11	0.0391786	0.580082	0.204779	0.497599	
01:39:26	0.0347108	0.429271	0.15497	0.373684	
01:39:41	0.0228514	0.310998	0.115064	0.289636	
01:39:56	0.0157763	0.222781	0.0919262	0.235321	
01:40:11	0.00783693	0.172771	0.065776	0.192062	
01:40:26	0.00488446	0.113989	0.0471418	0.164687	
01:40:41	-0.000325717	0.0488685	0.0333742	0.109455	
01:40:56	-0.00293732	0.00978396	0.0181139	0.0606187	
01:41:11	-0.000479393	-0.00534627	0.022245	0.0835368	
01:41:26	-0.000471928	-0.0123653	0.0189526	0.0639489	
01:41:41	-0.000587407	-0.0128309	0.0237812	0.0718923	
01:41:56	0.000932629	0.00237569	0.0166392	0.0777268	
01:42:11	-0.00328679	0.0854088	0.014814	0.149562	
01:42:26	0.01455	0.353984	0.0454057	0.378255	
01:42:41	0.0508464	1.04197	0.175922	0.850614	
01:42:56	0.140426	2.10656	0.471121	1.65812	
01:43:11	0.224446	2.82878	0.803122	2.15877	
01:43:26	0.242006	2.74541	0.903494	2.04837	
01:43:41	0.215351	2.45038	0.795511	1.82104	
01:43:56	0.185755	2.06063	0.693969	1.51319	
01:44:11	0.15801	1.77067	0.608567	1.33614	
01:44:26	0.129347	1.43544	0.499846	1.05872	
01:44:41	0.0958022	1.12877	0.390169	0.859175	
01:44:56	0.075771	0.880006	0.309758	0.692953	
01:45:11	0.0563562	0.682915	0.233435	0.566585	
01:45:26	0.0402517	0.51819	0.173813	0.415733	
01:45:41	0.0287302	0.369107	0.136121	0.331948	
