Relative Time	Peak at 1592 cm-1	Peak at 1719 cm-1	Annotations
00:15:12	0.00759078	0.0675028	
00:15:27	0.00497351	0.0696347	
00:15:42	0.00804546	0.0743511	
00:15:56	0.0054546	0.0866398	
00:16:12	0.00585116	0.0863423	
00:16:27	0.00872935	0.0819666	
00:16:42	0.00966775	0.085579	
00:16:57	0.0105642	0.0887377	
00:17:12	0.00970421	0.107601	
00:17:27	0.0108241	0.0916087	
00:17:42	0.0102615	0.107005	
00:17:57	0.013332	0.102348	
00:18:11	0.0149921	0.120292	
00:18:26	0.0117182	0.106305	
00:18:42	0.014242	0.113591	
00:18:56	0.0132928	0.118956	
00:19:11	0.0145364	0.124881	
00:19:26	0.018068	0.123968	
00:19:41	0.0150668	0.120353	
00:19:57	0.0164848	0.11905	
00:20:12	0.0139328	0.118	
00:20:27	0.0126172	0.119307	
00:20:42	0.0141017	0.120094	
00:20:57	0.0136358	0.144213	
00:21:12	0.0156606	0.13674	
00:21:26	0.0155051	0.126603	
00:21:42	0.0168598	0.127067	
00:21:57	0.0154365	0.126857	
00:22:12	0.0172199	0.132402	
00:22:27	0.0276892	0.201189	
00:22:42	0.113191	0.674893	
00:22:56	0.156187	0.908266	
00:23:11	0.109756	0.629568	
00:23:26	0.107766	0.592991	
00:23:42	0.0998206	0.587764	
00:23:56	0.0957867	0.559279	
00:24:11	0.100278	0.544542	
00:24:26	0.0961765	0.539477	
00:24:41	0.100046	0.520481	
00:24:56	0.0964489	0.520637	
00:25:11	0.095342	0.513719	
00:25:27	0.0937005	0.516052	
00:25:41	0.0930618	0.49861	
00:25:56	0.0172286	0.0585307	
00:26:12	0.00620098	0.0607088	
00:26:27	0.00424944	0.0677228	
00:26:42	0.00864854	0.0618464	
00:26:57	0.00546276	0.0683569	
00:27:12	0.00780786	0.0814585	
00:27:27	0.00859119	0.0929087	
00:27:41	0.00971671	0.0827659	
00:27:57	0.0107809	0.0908801	
00:28:12	0.0103439	0.0928493	
00:28:27	0.0120239	0.100253	
00:28:42	0.0117757	0.0941458	
00:28:57	0.0120095	0.113442	
00:29:12	0.0116152	0.0940021	
00:29:26	0.0109581	0.103554	
00:29:41	0.0138577	0.105723	
00:29:57	0.011443	0.123978	
00:30:12	0.0113038	0.116556	
00:30:26	0.0117772	0.109243	
00:30:41	0.0123952	0.121593	
00:30:56	0.0126958	0.107125	
00:31:11	0.014447	0.120365	
00:31:26	0.0122969	0.124632	
00:31:41	0.0162082	0.121937	
00:31:56	0.0157137	0.119117	
00:32:11	0.0146031	0.128772	
