Relative Time	Peak at 829 cm-1	Peak at 1206 cm-1	Peak at 1704 cm-1	Peak at 1752 cm-1	Annotations
00:00:26	0.00120644	-0.00197709	0.0294979	0.0243457	HPLC Running 
00:00:56	0.00186573	-0.00596711	0.0302214	0.0255146	
00:01:26	0.000401254	-0.00350043	0.0370124	0.0401704	
00:01:56	0.00397586	-0.00284536	0.03256	0.0298848	
00:02:26	-0.0011355	-0.00114555	0.0325871	0.0327523	
00:02:56	0.000137215	0.00300734	0.0328461	0.0318369	
00:03:26	0.00382715	-0.000776398	0.0339523	0.0325288	
00:03:56	-0.00276122	-0.000436831	0.0333207	0.0309336	
00:04:26	0.00366163	0.000835031	0.0318167	0.0270766	
00:04:56	-0.000853395	-0.00118971	0.0363614	0.0413648	
00:05:26	0.00166704	-0.0043814	0.0357175	0.0370612	
00:05:56	0.00103228	-0.00453376	0.0364497	0.0385988	
00:06:26	-0.000115306	-0.00447825	0.0406203	0.0379012	
00:06:56	0.00213681	-0.000603066	0.0382213	0.03407	
00:07:25	0.00244815	-0.00125056	0.03793	0.0357884	
00:07:56	2.89934e-06	-0.00121526	0.0389419	0.0387199	
00:08:25	0.00458989	-0.0061709	0.03729	0.0372648	
00:08:56	0.000958657	-0.00233355	0.0394608	0.0377968	
00:09:26	8.11728e-05	-0.00365785	0.040675	0.0385882	
00:09:55	0.00224649	-0.00422773	0.0425464	0.0389384	
00:10:26	0.00213821	-0.00472263	0.0368167	0.0334296	
00:10:56	0.00364155	-0.00569754	0.0405899	0.0388358	
00:11:26	0.0026933	-0.00660741	0.0407724	0.0442801	
00:11:56	5.38867e-05	-0.00173946	0.0383281	0.0342994	
00:12:26	-0.00246846	-0.00218929	0.0441533	0.0457303	
00:12:55	-0.00174682	-0.0055956	0.0440774	0.044834	
00:13:26	0.00362232	0.0210415	0.0459475	0.055057	
00:13:56	0.0225667	0.340016	0.157752	0.273426	
00:14:26	0.0880188	1.01661	0.468517	0.670975	
00:14:56	0.0896627	0.925471	0.471336	0.601498	
00:15:26	0.0559538	0.619176	0.323866	0.427322	
00:15:56	0.0303346	0.312629	0.185314	0.242682	
00:16:26	0.0157811	0.182675	0.127236	0.154505	
00:16:56	0.00479215	0.0553977	0.0772352	0.0962883	
00:17:25	0.00010057	0.00167849	0.0508766	0.0564625	
00:17:56	-0.000287062	-0.00912854	0.0549863	0.0582114	
00:18:26	0.00165731	-0.00714858	0.0523688	0.05681	
00:18:56	3.2223e-05	-0.00919719	0.0510349	0.0530956	
00:19:26	-0.000361469	0.0100807	0.0506642	0.0651443	
00:19:56	0.0122844	0.204739	0.0862963	0.148145	
00:20:26	0.0590211	0.769473	0.296498	0.424514	
00:20:56	0.0703801	0.846999	0.375978	0.457242	
00:21:26	0.0484671	0.596148	0.268655	0.336122	
00:21:56	0.0230767	0.282221	0.147068	0.178575	
00:22:26	0.0150836	0.159449	0.098913	0.113846	
00:22:56	0.00712916	0.0863312	0.0748694	0.0864087	
00:23:26	0.00224335	0.0120641	0.0485135	0.0450838	
00:23:56	0.00313396	-0.00136738	0.0468978	0.0440478	
00:24:26	0.000492979	-0.00451603	0.0508662	0.0473911	
00:24:56	0.000377953	-0.00808054	0.0491439	0.0504835	
00:25:27	0.00327941	0.0269952	0.0511311	0.0564895	
00:25:56	0.0169091	0.2951	0.118134	0.193609	
00:26:26	0.0640747	0.766809	0.31618	0.410943	
00:26:56	0.0600908	0.695634	0.314378	0.380084	
00:27:26	0.036338	0.445353	0.205751	0.255904	
00:27:56	0.0151711	0.222022	0.123437	0.150255	
00:28:26	0.0123745	0.132403	0.089399	0.105059	
00:28:55	0.00355354	0.0617607	0.0664964	0.073411	
00:29:26	-0.0011598	0.00396762	0.0542784	0.0504641	
00:29:56	0.00217077	-0.00489649	0.0506001	0.0488742	
00:30:26	-0.000723037	-0.00715282	0.0492244	0.0461409	
00:30:56	-0.00136047	-0.00528814	0.0510682	0.0501477	
00:31:26	0.00165813	0.0467251	0.0560517	0.0672318	
00:31:56	0.0252447	0.333269	0.133202	0.199101	
00:32:26	0.0591634	0.693903	0.294295	0.371287	
00:32:56	0.0497526	0.569392	0.26053	0.311413	
00:33:26	0.0274012	0.353368	0.170833	0.211016	
00:33:56	0.0147173	0.184192	0.113554	0.138047	
00:34:26	0.00936485	0.112186	0.0840227	0.0932656	
00:34:56	0.00186711	0.032229	0.0550344	0.0604927	
00:35:26	-0.00259399	-0.000662611	0.0541697	0.0521547	
00:35:56	-0.00370584	0.00111929	0.0520866	0.0425912	
00:36:26	0.00456177	-0.0049759	0.0517715	0.0442135	
00:36:56	-0.0025264	-0.00114164	0.0535835	0.056049	
00:37:26	0.00464593	0.0813297	0.0623384	0.0784739	
00:37:56	0.0297654	0.393086	0.163943	0.220787	
00:38:25	0.0492945	0.575985	0.260211	0.301614	
00:38:56	0.0367533	0.436072	0.202948	0.237746	
00:39:26	0.0199006	0.259359	0.133902	0.158336	
00:39:56	0.00983756	0.145381	0.0945138	0.107733	
00:40:26	0.00570807	0.0707642	0.0753547	0.0821396	
00:40:56	0.000841871	0.00774898	0.0520959	0.0479132	
00:41:26	4.57931e-05	0.000379802	0.0550874	0.0517568	
00:41:56	0.00180371	-0.00275825	0.056689	0.0562038	
00:42:26	0.00198109	-0.00439369	0.0526637	0.0448201	
00:42:56	0.00061012	0.0155156	0.0571447	0.0562934	
00:43:26	0.00850187	0.147539	0.0785868	0.101882	
00:43:56	0.0336102	0.435378	0.19372	0.230017	
00:44:26	0.0368208	0.40555	0.197737	0.218148	
00:44:56	0.0201313	0.294557	0.152251	0.170366	
00:45:26	0.014571	0.167543	0.103325	0.118136	
00:45:56	0.00709612	0.0918194	0.077321	0.081002	
00:46:26	0.00130852	0.0240571	0.0553243	0.055708	
00:46:56	-0.000179114	0.000186722	0.0529521	0.0512124	
00:47:26	-0.000649319	-0.00136078	0.0554689	0.0507531	
00:47:56	-0.00135539	-0.00130303	0.0579746	0.0569875	
00:48:26	-0.00167615	-0.00321753	0.0593785	0.0489956	
00:48:56	-0.000369731	0.0113137	0.0548707	0.0543793	
00:49:26	0.00659428	0.125587	0.0746833	0.093451	
00:49:56	0.0276647	0.337755	0.15669	0.169444	
00:50:26	0.0278018	0.311413	0.158246	0.160573	
00:50:56	0.0172178	0.216907	0.120441	0.133396	
00:51:26	0.00984122	0.123551	0.0912446	0.0918713	
00:51:56	0.00316327	0.0545196	0.0653757	0.0686325	
00:52:26	0.00187682	0.00913679	0.0600371	0.0574002	
00:52:56	-0.00204147	-0.00125996	0.0641823	0.0598977	
00:53:26	-9.10853e-05	-0.00129147	0.0573953	0.0507622	
00:53:56	-0.000165408	-0.00403086	0.0574875	0.0519312	
00:54:26	-0.00180378	-0.00482289	0.0575896	0.0541456	
00:54:56	0.00242795	-0.00238132	0.056524	0.0498289	
00:55:26	0.00160448	0.0462778	0.0542128	0.0612811	
00:55:56	0.0119049	0.18782	0.0952807	0.0917863	
00:56:26	0.0242955	0.25852	0.132185	0.115376	
00:56:56	0.0109203	0.172097	0.104637	0.106053	
00:57:26	0.0078422	0.111439	0.0822805	0.0859969	
00:57:56	0.00355635	0.0420268	0.0690363	0.0592504	
00:58:26	-0.00133322	0.00817156	0.059294	0.0528129	
00:58:56	-0.00129013	-0.00351489	0.0602978	0.0472508	
00:59:26	-0.000475514	-0.00131162	0.0598866	0.0557075	
00:59:56	0.000483412	-0.00831246	0.0528843	0.0445586	
01:00:26	0.00158359	0.000376505	0.0605779	0.058789	
01:00:56	-0.00230639	0.0077015	0.0613271	0.0578532	
01:01:26	0.00238019	0.0750094	0.0646171	0.0677822	
01:01:56	0.010865	0.167452	0.0940764	0.076169	
01:02:26	0.0122032	0.151448	0.0980367	0.0859887	
01:02:56	0.00478981	0.0790574	0.0752407	0.0712913	
01:03:26	0.00139006	0.0397861	0.0646874	0.0627108	
01:03:56	0.00119757	0.00977503	0.0593961	0.0478805	
01:04:26	-0.0037273	-0.00106003	0.0603473	0.053182	
01:04:56	0.00106138	-0.00282337	0.0561379	0.0446861	
01:05:26	-0.00148718	-0.00631468	0.0605317	0.0568623	
01:05:56	-8.20425e-05	-0.00635292	0.0605289	0.051015	
01:06:26	-0.00348493	-0.00246821	0.0604278	0.0498547	
01:06:56	0.00129951	0.015933	0.0618427	0.0555244	
01:07:26	0.00558493	0.0777121	0.0596286	0.0501684	
01:07:56	0.0108771	0.121108	0.0806558	0.0535983	
01:08:26	0.00650768	0.0814466	0.0679648	0.0565453	
01:08:56	-0.00196513	0.0274879	0.0591648	0.052048	
01:09:26	-0.00087072	0.00420311	0.0559888	0.0460913	
01:09:56	-0.000237518	-0.00209416	0.0575768	0.0467938	
01:10:26	0.00288003	-0.0023367	0.0599374	0.0509787	
01:10:56	0.00148243	-0.00456769	0.0605201	0.0548047	
01:11:26	-0.00367883	-0.00555642	0.0621112	0.0508703	
01:11:55	-0.00125295	-0.00295523	0.0619266	0.0490827	
01:12:26	-0.00115022	0.0067132	0.0624576	0.0506976	
01:12:56	0.0253829	0.227733	0.18508	0.196422	
01:13:26	0.145065	1.0765	0.733818	0.606731	
01:13:56	0.196391	1.33074	0.970755	0.684308	
01:14:26	0.128155	0.888907	0.661992	0.485649	
01:14:56	0.0546617	0.383033	0.327033	0.247117	
01:15:26	0.0298241	0.210298	0.210242	0.169945	
01:15:56	0.0168288	0.110118	0.143477	0.12389	
01:16:26	0.00331541	0.0112002	0.0818637	0.0713849	
01:16:55	0.00189555	-0.00768776	0.0733014	0.0658109	
01:17:26	-0.000341475	-0.00718642	0.0675999	0.0560823	
01:17:56	-0.00543861	-0.00982727	0.0656586	0.0620871	
01:18:26	0.00440619	0.0279578	0.0727793	0.0705312	
01:18:56	0.0392335	0.387822	0.247696	0.213384	
01:19:26	0.156979	1.10753	0.761356	0.473486	
01:19:56	0.156689	1.05145	0.776578	0.441002	
01:20:26	0.0826911	0.571851	0.439478	0.255478	
01:20:56	0.0340148	0.25818	0.229644	0.143349	
01:21:26	0.0176056	0.143328	0.150781	0.0949373	
01:21:56	0.00806143	0.0711377	0.107427	0.0746095	
01:22:26	0.000652299	0.0050487	0.0660765	0.052207	
01:22:56	0.000374053	-0.00539501	0.0601122	0.045667	
01:23:26	-0.00199179	-0.00862349	0.0650385	0.0552696	
01:23:56	-0.00539676	-0.000116892	0.0635696	0.0531427	
01:24:26	0.00950475	0.120256	0.107735	0.0916344	
01:24:56	0.0985993	0.71802	0.490266	0.315216	
01:25:26	0.164516	1.0608	0.801914	0.428176	
01:25:56	0.117031	0.776302	0.591583	0.320757	
01:26:26	0.0493102	0.335943	0.285581	0.16604	
01:26:56	0.0221547	0.170127	0.168604	0.104499	
01:27:26	0.0132001	0.098961	0.122203	0.0813189	
01:27:56	0.00321468	0.0228477	0.070868	0.0552077	
01:28:26	0.000630701	-0.000881824	0.0650089	0.0512918	
01:28:56	-0.00260203	-0.00984864	0.0645194	0.0496409	
01:29:26	-0.00392938	-0.00306564	0.065785	0.0528929	
01:29:56	0.00151617	0.00656204	0.0591216	0.0471284	
01:30:26	0.0221788	0.214385	0.157003	0.112639	
01:30:56	0.120996	0.819187	0.597424	0.322039	
01:31:26	0.148384	0.916459	0.726197	0.346947	
