Data file:,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 10.sirslt\PD-007 - Q 10.dx
Sample name:,PD-007 - Q 10
Description:,
Sample amount:,0.000,Sample type:,Sample
Instrument:,1100LC,Location:,30
Injection date:,2019-08-26 14:46:04+01:00,Injection:,1 of 1
Acq. method:,PD - TEMPO Gradient.amx,Injection volume:,2.000
Analysis method:,*GC_LC Area Percent_DefaultMethod.pmx,Acq. operator:,SYSTEM
Last changed:,2019-06-19 10:57:01+01:00
Signal:,"VWD1A,Wavelength=210 nm"
RT [min],Type,Width [min],Area,Height,Area%,Name
1.510,BB  ,3.0299,55230.0460,2747.4610,96.8653,
5.116,BB  ,0.8348,221.6965,11.9836,0.3888,
7.096,BB  ,1.0639,1565.6123,160.8382,2.7459,
,,Sum,57017.3548,,,

