Data file:,C:\CDSProjects\Dingwall_group\Results\PD - TEMPO\PD-007\PD-007 - Q 3.sirslt\PD-007 - Q 3.dx
Sample name:,PD-007 - Q 3
Description:,
Sample amount:,0.000,Sample type:,Sample
Instrument:,1100LC,Location:,9
Injection date:,2019-08-26 10:47:54+01:00,Injection:,1 of 1
Acq. method:,PD - TEMPO Gradient.amx,Injection volume:,2.000
Analysis method:,*GC_LC Area Percent_DefaultMethod.pmx,Acq. operator:,SYSTEM
Last changed:,2019-06-19 10:57:01+01:00
Signal:,"VWD1A,Wavelength=210 nm"
RT [min],Type,Width [min],Area,Height,Area%,Name
1.522,BB  ,3.4963,55742.8181,2750.6365,97.0194,
5.130,BB  ,0.9124,1005.9001,55.1101,1.7508,
7.120,BB  ,1.0268,706.6285,76.0903,1.2299,
,,Sum,57455.3468,,,

