Relative Time	Peak at 829 cm-1	Peak at 1216 cm-1	Peak at 1714 cm-1	Peak at 1753 cm-1
00:53:56	-0.00233504	0.0326644	0.0312199	0.0962745
00:54:26	0.00014856	-0.00127552	0.0370864	0.0834041
00:54:56	-0.00110046	-0.0100613	0.0399943	0.0785419
00:55:26	-0.00340348	-0.0133771	0.0446344	0.0568624
00:55:56	-0.0044698	-0.0105945	0.0388256	0.0703957
00:56:26	-0.00344261	0.00109747	0.0360243	0.0723313
00:56:56	0.00435296	0.0986249	-0.00580917	0.12398
00:57:26	0.0194864	0.276312	-0.0497052	0.23312
00:57:56	0.0193288	0.264705	-0.0157653	0.218571
00:58:26	0.0103377	0.194309	-0.00716106	0.180752
00:58:56	0.00384434	0.106781	0.0128067	0.132431
00:59:26	0.00309972	0.0623193	0.0233496	0.111008
00:59:56	0.000678782	0.0187012	0.0309626	0.0905411
01:00:26	-0.0022613	-0.000919447	0.0411669	0.0784019
01:00:55	-0.00374196	-0.0116349	0.0426498	0.072778
01:01:25	-0.00523829	-0.0140124	0.0441676	0.0910221
01:01:56	-0.00166332	-0.0107355	0.0440347	0.0818443
01:02:25	-0.00456267	-0.00333712	0.0407245	0.0874219
01:02:55	0.00179092	0.0593897	0.0112383	0.118369
01:03:26	0.00961129	0.181056	-0.0526752	0.168651
01:03:56	0.00982773	0.178387	-0.0365844	0.170744
01:04:26	0.00659861	0.122521	-0.00870898	0.150613
01:04:56	0.000122159	0.074816	0.004628	0.115947
01:05:26	-0.00151177	0.0255125	0.0274929	0.0941128
01:05:56	-0.0022769	-0.00285445	0.0385217	0.0889066
01:06:26	-0.00573023	-0.00952355	0.0436057	0.0713365
01:06:56	0.000593119	-0.0115225	0.0468779	0.0727228
01:07:26	-0.00411411	-0.0126154	0.0450175	0.0674578
01:07:56	-0.00497562	-0.0135998	0.0470146	0.0821614
01:08:25	-0.000361646	0.0277835	0.0712924	0.115433
01:08:56	0.093344	0.789936	0.536935	0.569804
01:09:26	0.368581	2.524	1.81557	1.56315
01:09:55	0.362715	2.38347	1.78394	1.44683
01:10:25	0.273784	1.82884	1.37685	1.13225
01:10:55	0.173663	1.18225	0.904139	0.754647
01:11:26	0.0996665	0.715046	0.561886	0.501657
01:11:55	0.0532163	0.395453	0.332366	0.314155
01:12:25	0.0290854	0.218924	0.207995	0.23002
01:12:55	0.00873878	0.073354	0.109215	0.136245
01:13:25	0.00276268	-0.00100741	0.061705	0.0843342
01:13:56	-0.00269521	-0.00805841	0.0494118	0.0812841
01:14:26	-0.000568418	0.0777846	0.0561308	0.134222
01:14:56	0.100985	0.935098	0.471112	0.606324
01:15:26	0.301751	2.1226	1.36125	1.22637
01:15:56	0.265741	1.83701	1.24287	1.06635
01:16:26	0.193346	1.38195	0.945822	0.821863
01:16:56	0.119914	0.890841	0.611431	0.551411
01:17:26	0.0701133	0.558508	0.38665	0.378131
01:17:56	0.0402831	0.312653	0.238424	0.242859
01:18:26	0.0153657	0.171117	0.153396	0.190233
01:18:56	0.0103027	0.0858253	0.0989502	0.131112
01:19:26	-0.000335821	0.00779468	0.0563494	0.091591
01:19:56	0.000106131	0.00814059	0.0493386	0.0919593
